CalendarName,EventTitle,StartDate,StartTime,EndDate,EndTime,Duration,StartTimeZone
ABOG Arizona,Phoenix,5/17/19,4:00 PM,5/17/19,8:00 PM,240,America/Los_Angeles
ABOG Detroit,DETROIT 2,5/20/19,7:30 PM,5/20/19,9:30 PM,120,America/Los_Angeles
ABOG Portland,Portland Team 8 - Cedar Mill,5/21/19,6:30 PM,5/21/19,9:30 PM,180,America/Los_Angeles
ABOG Detroit,DETROIT 4,5/22/19,7:30 PM,5/22/19,9:30 PM,120,America/Los_Angeles
ABOG Anchorage,Anchorage Priceless Patrols,5/23/19,7:00 PM,5/23/19,10:00 PM,180,America/Los_Angeles
ABOG Portland,Portland Team 1,5/24/19,6:30 PM,5/24/19,9:30 PM,180,America/Los_Angeles
ABOG North Texas,North Texas Patrol - FW Team 2,5/28/19,4:00 PM,5/28/19,6:00 PM,120,America/Los_Angeles
ABOG Portland,EPIK Patrol PDX Team dos,5/29/19,6:30 PM,5/29/19,9:30 PM,180,America/Los_Angeles
ABOG Kansas City,Kansas City Patrol,5/31/19,6:00 PM,5/31/19,8:00 PM,120,America/Los_Angeles
ABOG Detroit,DETROIT 3,6/3/19,7:30 PM,6/3/19,9:30 PM,120,America/Los_Angeles
ABOG Portland,Portland 5 (Lake O.),6/4/19,7:00 PM,6/4/19,9:00 PM,120,America/Los_Angeles
ABOG Anchorage,Homer Priceless Patrol,6/5/19,7:00 PM,6/5/19,10:00 PM,180,America/Los_Angeles
ABOG Anchorage,Anchorage Priceless Patrols,6/6/19,7:00 PM,6/6/19,10:00 PM,180,America/Los_Angeles
ABOG Kansas City,KC North Patrol,6/7/19,7:00 PM,6/7/19,10:00 PM,180,America/Los_Angeles
ABOG Arizona,Tucson,6/8/19,4:00 PM,6/8/19,8:00 PM,240,America/Los_Angeles
ABOG North Texas,North Texas Patrol - FW Team 1,6/11/19,4:00 PM,6/11/19,6:00 PM,120,America/Los_Angeles
ABOG Detroit,DETROIT 1,6/12/19,5:30 PM,6/12/19,8:00 PM,150,America/Los_Angeles
ABOG Detroit,DETROIT 7 - from home,6/13/19,7:00 PM,6/13/19,9:00 PM,120,America/Los_Angeles
ABOG Detroit,DETROIT 4,6/17/19,7:30 PM,6/17/19,9:30 PM,120,America/Los_Angeles
ABOG Detroit,DETROIT 6,6/19/19,5:30 PM,6/19/19,8:00 PM,150,America/Los_Angeles
ABOG Portland,PDX Team 2,6/19/19,7:00 PM,6/19/19,10:00 PM,180,America/Los_Angeles
ABOG Anchorage,Anchorage Priceless Patrols,6/20/19,7:00 PM,6/20/19,10:00 PM,180,America/Los_Angeles
ABOG Kansas City,Kansas City Patrol,6/23/19,5:00 PM,6/23/19,7:00 PM,120,America/Los_Angeles
ABOG Detroit,DETROIT 2,6/24/19,7:30 PM,6/24/19,9:30 PM,120,America/Los_Angeles
ABOG North Texas,North Texas Patrol - FW Team 2,6/25/19,4:00 PM,6/25/19,6:00 PM,120,America/Los_Angeles
ABOG Portland,Portland Team 1,6/26/19,6:30 PM,6/26/19,9:30 PM,180,America/Los_Angeles
ABOG Arizona,Phoenix,6/28/19,4:00 PM,6/28/19,8:00 PM,240,America/Los_Angeles
ABOG North Texas,North Texas Patrol - FW Team 1,7/9/19,4:00 PM,7/9/19,6:00 PM,120,America/Los_Angeles
ABOG Portland,Portland Team 1,7/10/19,6:30 PM,7/10/19,9:30 PM,180,America/Los_Angeles
ABOG Arizona,Tucson East,7/13/19,4:00 PM,7/13/19,6:30 PM,150,America/Los_Angeles
ABOG Detroit,DETROIT 1,7/16/19,4:00 PM,7/16/19,6:00 PM,120,America/Los_Angeles
ABOG Detroit,DETROIT 2,7/16/19,8:00 PM,7/16/19,10:00 PM,120,America/Los_Angeles
ABOG Anchorage,Anchorage Priceless Patrols,7/18/19,7:00 PM,7/18/19,10:00 PM,180,America/Los_Angeles
ABOG San Diego,SD Cyber Patrol ,7/18/19,7:30 PM,7/18/19,10:30 PM,180,America/Los_Angeles
ABOG Detroit,DETROIT 4,7/22/19,8:00 PM,7/22/19,10:00 PM,120,America/Los_Angeles
ABOG North Texas,North Texas Patrol - FW Team 2,7/23/19,4:00 PM,7/23/19,6:00 PM,120,America/Los_Angeles
ABOG Detroit,DETROIT 3,7/23/19,8:00 PM,7/23/19,10:00 PM,120,America/Los_Angeles
ABOG Detroit,DETROIT 6,7/25/19,4:00 PM,7/25/19,6:00 PM,120,America/Los_Angeles
ABOG Detroit,DETROIT 7,7/30/19,4:00 PM,7/30/19,6:00 PM,120,America/Los_Angeles
ABOG Portland,PDX Team 2,7/31/19,7:00 PM,7/31/19,10:00 PM,180,America/Los_Angeles
ABOG Kansas City,Kansas City Patrol ,8/4/19,6:00 PM,8/4/19,8:00 PM,120,America/Los_Angeles
ABOG Detroit,DETROIT 1,8/6/19,4:00 PM,8/6/19,6:00 PM,120,America/Los_Angeles
ABOG Detroit,DETROIT 3,8/6/19,8:00 PM,8/6/19,10:00 PM,120,America/Los_Angeles
ABOG Arizona,Tucson West,8/10/19,12:00 PM,8/10/19,4:00 PM,240,America/Los_Angeles
ABOG Arizona,Tucson,8/10/19,4:00 PM,8/10/19,8:00 PM,240,America/Los_Angeles
ABOG Arizona,Tucson East,8/10/19,4:00 PM,8/10/19,6:30 PM,150,America/Los_Angeles
ABOG Arizona,Tucson East,8/10/19,5:00 PM,8/10/19,9:00 PM,240,America/Los_Angeles
ABOG North Texas,North Texas Patrol - FW Team 1,8/13/19,4:00 PM,8/13/19,6:00 PM,120,America/Los_Angeles
ABOG Anchorage,Anchorage Priceless Patrols,8/15/19,7:00 PM,8/15/19,10:00 PM,180,America/Los_Angeles
ABOG Detroit,DETROIT 6,8/20/19,4:00 PM,8/20/19,6:00 PM,120,America/Los_Angeles
ABOG Portland,Portland Team 1,8/21/19,6:30 PM,8/21/19,9:30 PM,180,America/Los_Angeles
ABOG Portland,Portland Team 3,8/22/19,7:00 PM,8/22/19,10:00 PM,180,America/Los_Angeles
ABOG Kansas City,KC North Patrol,8/23/19,7:00 PM,8/23/19,10:00 PM,180,America/Los_Angeles
