index,CalendarName,EventTitle,StartDate,StartTime,EndDate,EndTime,Duration
133,ABOG Portland,Portland Team 3,2019-08-22,19:00:00,2019-08-22,22:00:00,180
134,ABOG Kansas City,KC North Patrol,2019-08-23,19:00:00,2019-08-23,22:00:00,180
135,ABOG San Diego,SD Cyber Patrol,2019-08-23,19:30:00,2019-08-23,22:30:00,180
136,ABOG Detroit,DETROIT 4,2019-08-26,16:00:00,2019-08-26,18:00:00,120
137,ABOG North Texas,North Texas Patrol - FW Team 2,2019-08-27,16:00:00,2019-08-27,18:00:00,120
138,ABOG Detroit,DETROIT ALL-TEAM,2019-08-28,14:00:00,2019-08-28,18:30:00,270
139,ABOG Portland,PDX Team 2,2019-08-28,19:00:00,2019-08-28,22:00:00,180
140,ABOG Anchorage,Anchorage Priceless Patrols,2019-08-29,19:00:00,2019-08-29,22:00:00,180
141,ABOG Kansas City,KC South Patrol,2019-08-30,17:00:00,2019-08-30,19:00:00,120
142,ABOG Detroit,DETROIT 1,2019-09-03,16:00:00,2019-09-03,18:00:00,120
143,ABOG Portland,Portland Team 5,2019-09-03,19:00:00,2019-09-03,21:00:00,120
144,ABOG Detroit,DETROIT 3,2019-09-03,20:00:00,2019-09-03,22:00:00,120
145,ABOG SeattleTacoma,Call: ABOG Seattle/Tacoma,2019-09-04,10:00:00,2019-09-04,11:00:00,60
146,ABOG Anchorage,Soldotna Patrol,2019-09-05,19:00:00,2019-09-05,22:00:00,180
147,ABOG Portland,Portland Team 1,2019-09-11,18:30:00,2019-09-11,21:30:00,180
148,ABOG Detroit,DETROIT 6,2019-09-12,16:00:00,2019-09-12,18:00:00,120
149,ABOG Anchorage,Anchorage Priceless Patrols,2019-09-12,19:00:00,2019-09-12,22:00:00,180
150,ABOG Kansas City,The Big Search KC 2019 Update Meeting,2019-09-13,07:00:00,2019-09-13,08:00:00,60
151,ABOG Arizona,Tucson West,2019-09-14,12:00:00,2019-09-14,16:00:00,240
152,ABOG Arizona,Tucson East,2019-09-14,16:00:00,2019-09-14,18:30:00,150
153,ABOG Arizona,Tucson East,2019-09-14,17:00:00,2019-09-14,21:00:00,240
154,ABOG Detroit,DETROIT 7 ,2019-09-17,16:00:00,2019-09-17,18:00:00,120
155,ABOG North Texas,North Texas Patrol - FW Team 1,2019-09-17,18:00:00,2019-09-17,20:00:00,120
156,ABOG Portland,EPIK Patrol Demo (lunch provided),2019-09-18,12:15:00,2019-09-18,14:15:00,120
157,ABOG Portland,Portland Team 4 Patrol,2019-09-18,19:00:00,2019-09-18,22:00:00,180
158,ABOG North Texas,North Texas Patrol - FW Team 2,2019-09-19,16:00:00,2019-09-19,18:00:00,120
159,ABOG Portland,Portland Team 3,2019-09-19,19:00:00,2019-09-19,22:00:00,180
160,ABOG Detroit,DETROIT 4,2019-09-23,20:00:00,2019-09-23,22:00:00,120
161,ABOG Anchorage,Homer Patrol,2019-09-23,20:00:00,2019-09-23,22:00:00,120
162,ABOG Portland,PDX Team 8 Patrol,2019-09-24,18:30:00,2019-09-24,21:30:00,180
163,ABOG Portland,Portland  Team 2,2019-09-25,19:00:00,2019-09-25,22:00:00,180
164,ABOG Detroit,DETROIT ALL-TEAM,2019-09-26,14:30:00,2019-09-26,18:00:00,210
165,ABOG Houston,CEASE Houston Patrol,2019-09-26,16:00:00,2019-09-26,18:00:00,120
166,ABOG North Texas,North Texas Patrol,2019-09-26,16:00:00,2019-09-26,18:00:00,120
167,ABOG Anchorage,Anchorage Priceless Patrols,2019-09-26,19:00:00,2019-09-26,22:00:00,180
168,ABOG Arizona,Phoenix,2019-09-27,16:00:00,2019-09-27,19:00:00,180
169,ABOG Kansas City,KC North Patrol,2019-09-27,19:00:00,2019-09-27,22:00:00,180
170,ABOG Kansas City,Kansas City Cyber Patrol,2019-09-28,17:00:00,2019-09-28,20:00:00,180
171,ABOG Detroit,DETROIT 6,2019-10-01,16:00:00,2019-10-01,18:00:00,120
172,ABOG Portland,Portland Team 1,2019-10-03,18:30:00,2019-10-03,21:00:00,150
173,ABOG Detroit,DETROIT 7,2019-10-03,19:30:00,2019-10-03,21:30:00,120
174,ABOG North Texas,North Texas Patrol - FW Team 1,2019-10-08,16:00:00,2019-10-08,18:00:00,120
175,ABOG Portland,Portland Team 5 Patrol ,2019-10-08,19:00:00,2019-10-08,21:00:00,120
176,ABOG Anchorage,Anchorage Priceless Patrols,2019-10-10,19:00:00,2019-10-10,22:00:00,180
177,ABOG Arizona,Tucson West,2019-10-12,12:00:00,2019-10-12,16:00:00,240
178,ABOG Arizona,Tucson East,2019-10-12,16:00:00,2019-10-12,18:30:00,150
179,ABOG Arizona,Tucson East,2019-10-12,17:00:00,2019-10-12,21:00:00,240
180,ABOG Detroit,DETROIT 1,2019-10-15,16:00:00,2019-10-15,18:00:00,120
181,ABOG North Texas,North Texas Patrol - FW1,2019-10-15,16:00:00,2019-10-15,18:00:00,120
182,ABOG Portland,Portland Team 3,2019-10-17,19:00:00,2019-10-17,22:00:00,180
183,ABOG Arizona,Phoenix,2019-10-18,16:00:00,2019-10-18,20:00:00,240
184,ABOG Kansas City,KC North Team,2019-10-19,19:00:00,2019-10-19,22:00:00,180
185,ABOG Portland,PDX Team 8 Patrol,2019-10-22,18:30:00,2019-10-22,21:30:00,180
186,ABOG Portland,EPIK PDX Team 2 Patrol,2019-10-23,19:00:00,2019-10-23,21:30:00,150
187,ABOG Anchorage,Anchorage Priceless Patrols,2019-10-24,19:00:00,2019-10-24,22:00:00,180
188,ABOG Kansas City,KC North Team,2019-10-25,19:00:00,2019-10-25,22:00:00,180
189,ABOG Houston,HOUSTON PATROL,2019-10-26,13:00:00,2019-10-26,15:00:00,120
190,ABOG North Texas,North Texas Patrol - FW Team 2,2019-10-29,16:00:00,2019-10-29,18:00:00,120
191,ABOG Kansas City,Kansas City Patrol,2019-10-29,18:00:00,2019-10-29,20:00:00,120
192,ABOG San Diego,ABOG San Diego,2019-10-30,19:00:00,2019-10-30,22:30:00,210
193,ABOG Houston,CEASE Georgetown Training/Cyber Patrol ,2019-11-01,10:00:00,2019-11-01,15:00:00,300
194,ABOG Detroit,DETROIT 3,2019-11-04,20:00:00,2019-11-04,22:00:00,120
195,ABOG Detroit,DETROIT 1,2019-11-05,16:00:00,2019-11-05,18:00:00,120
196,ABOG Portland,Portland Team 5,2019-11-05,19:00:00,2019-11-05,21:00:00,120
197,ABOG Anchorage,Anchorage Priceless Patrols,2019-11-07,19:00:00,2019-11-07,22:00:00,180
198,ABOG Arizona,Tucson West,2019-11-09,11:00:00,2019-11-09,15:00:00,240
199,ABOG Arizona,Tucson East,2019-11-09,16:00:00,2019-11-09,20:00:00,240
200,ABOG Arizona,Tucson East,2019-11-09,16:00:00,2019-11-09,18:30:00,150
