,ConversationId,ConversationInitiated,ConversationDate,ConversationEndedBy,Id,Initiated,Event,Text,ParticipantId,ParticipantRole,QueueDuration,Duration,Abandoned,VisitorWait,AnyText
116125,5df069e8fd041529780d9576,1576036840429,2019-12-11 04:00:40,SYSTEM,5df06cadfd041529780d9a15,2019-12-11 04:12:29,,"your personal gender aside\n, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",DQVCTWMS5aaaaN,Agent,,12893.0,True,,"your personal gender aside\n, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
116146,5df06ea2fd041529780da027,1576038050677,2019-12-11 04:20:50,SYSTEM,5df06fe6fd041529780da70e,2019-12-11 04:26:14,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",EKVnTGMw5aagaU,Agent,,43201921.0,True,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
116204,5df1898dfd041529780f742d,1576110477461,2019-12-12 00:27:57,SYSTEM,5df18b12fd041529780f78ac,2019-12-12 00:34:26,,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\n,FGV8TqMa5aama!,Agent,,237372.0,True,,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\n
116209,5df1898dfd041529780f742d,1576110477461,2019-12-12 00:27:57,SYSTEM,5df18f9cfd041529780f8f36,2019-12-12 00:53:48,,May I text you information on where to get anonymous help?,FGV8TqMa5aama!,Agent,,221281.0,True,,May I text you information on where to get anonymous help?
116263,5df18b75fd041529780f7a2d,1576110965805,2019-12-12 00:36:05,SYSTEM,5df190bdfd041529780f95db,2019-12-12 00:58:37,,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.,FGV8TqMa5aama!,Agent,,80274.0,True,,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.
116264,5df18b75fd041529780f7a2d,1576110965805,2019-12-12 00:36:05,SYSTEM,5df1910efd041529780f97b7,2019-12-12 00:59:58,,"Obviously by your texts, you were trying to buy sex. \nMany of the girls who get involved in prostitution are minors.\n",FGV8TqMa5aama!,Agent,,48812.0,True,,"Obviously by your texts, you were trying to buy sex. \nMany of the girls who get involved in prostitution are minors.\n"
116418,5df1954cfd041529780fb07e,1576113484130,2019-12-12 01:18:04,SYSTEM,5df19e52fd041529780fe74f,2019-12-12 01:56:34,,\nYour # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\n,EKVnTGMw5aagaU,Agent,,4470.0,True,,\nYour # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\n
116419,5df1954cfd041529780fb07e,1576113484130,2019-12-12 01:18:04,SYSTEM,5df19e56fd041529780fe7aa,2019-12-12 01:56:38,,Are you aware that many of the girls who get involved in prostitution are minors?,EKVnTGMw5aagaU,Agent,,295699.0,True,,Are you aware that many of the girls who get involved in prostitution are minors?
116544,5df19c89fd041529780fdcda,1576115337806,2019-12-12 01:48:57,SYSTEM,5df1a40afd041529781008b6,2019-12-12 02:20:58,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",FGV8TqMa5aama!,Agent,,9835.0,True,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
116546,5df19c89fd041529780fdcda,1576115337806,2019-12-12 01:48:57,SYSTEM,5df1a41dfd04152978100971,2019-12-12 02:21:17,,May I text you information on where to get anonymous help?,FGV8TqMa5aama!,Agent,,82343.0,True,,May I text you information on where to get anonymous help?
116709,5df2e13efd0415297812687e,1576198462336,2019-12-13 00:54:22,SYSTEM,5df2e56afd0415297812767f,2019-12-13 01:12:10,,Are you aware that buying sex is illegal?,vquMTGMU5aaUaY,Agent,,314069.0,True,,Are you aware that buying sex is illegal?
116776,5df2e92bfd04152978128280,1576200491186,2019-12-13 01:28:11,SYSTEM,5df2ed4dfd041529781294d0,2019-12-13 01:45:49,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s \nenslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",FGV8TqMa5aama!,Agent,,62411.0,True,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s \nenslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
116807,5df2e9ebfd041529781285ad,1576200683922,2019-12-13 01:31:23,SYSTEM,5df2ea85fd0415297812886b,2019-12-13 01:33:57,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",wFu6TqMy5aa^a3,Agent,,93191.0,True,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
116939,5df53cebfd041529781632ab,1576353003522,2019-12-14 19:50:03,SYSTEM,5df541fefd041529781639b7,2019-12-14 20:11:42,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.",FGV8TqMa5aama!,Agent,,66781.0,True,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear."
116940,5df53cebfd041529781632ab,1576353003522,2019-12-14 19:50:03,SYSTEM,5df54240fd04152978163a57,2019-12-14 20:12:48,,Did you know that buying sex is illegal?,FGV8TqMa5aama!,Agent,,5876.0,True,,Did you know that buying sex is illegal?
116958,5df53d72fd04152978163340,1576353138126,2019-12-14 19:52:18,SYSTEM,5df53fdcfd0415297816365e,2019-12-14 20:02:36,,Are you aware that many of the girls who get involved in prostitution are minors?,FGV8TqMa5aama!,Agent,,146703.0,True,,Are you aware that many of the girls who get involved in prostitution are minors?
116959,5df53d72fd04152978163340,1576353138126,2019-12-14 19:52:18,SYSTEM,5df5406efd0415297816372a,2019-12-14 20:05:02,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",FGV8TqMa5aama!,Agent,,45238.0,True,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
116994,5df5456efd04152978163d3d,1576355181999,2019-12-14 20:26:21,SYSTEM,5df548b1fd0415297816442e,2019-12-14 20:40:17,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",FGV8TqMa5aama!,Agent,,926908.0,True,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
117035,5df5463afd04152978163f1f,1576355386866,2019-12-14 20:29:46,SYSTEM,5df549dafd0415297816471c,2019-12-14 20:45:14,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",FGV8TqMa5aama!,Agent,,194939.0,True,,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
